Source,Target,weight,label
-2179786877876424548,7341486337184709423,1533,1533
-2159857214311285554,-273033171021384035,2621,2621
-2159857214311285554,160009025870183982,1641,1641
-2159857214311285554,411522172308304650,1237,1237
-2159857214311285554,2707166451744194534,4862,4862
-2159857214311285554,3645692567939266464,1658,1658
-1092374183810287215,603774118492778883,2594,2594
-1092374183810287215,1960646417337105237,1881,1881
-1092374183810287215,2695305337569098618,2132,2132
-560123512857411715,2589265509983531627,1245,1245
-560123512857411715,2707166451744194534,1185,1185
-273033171021384035,871557107850427658,1179,1179
-273033171021384035,2589265509983531627,1328,1328
-273033171021384035,3645692567939266464,5600,5600
-273033171021384035,5074974895441262076,1747,1747
-273033171021384035,7484248958687458596,2885,2885
160009025870183982,1033778921950427255,1797,1797
603774118492778883,3039183585666478258,2569,2569
871557107850427658,2695305337569098618,1593,1593
871557107850427658,7484248958687458596,1313,1313
1033778921950427255,2589265509983531627,1139,1139
1108832248229541119,3645692567939266464,1082,1082
1108832248229541119,5074974895441262076,2844,2844
1960646417337105237,3039183585666478258,2876,2876
2087922859966410869,7341486337184709423,1520,1520
2087922859966410869,7484248958687458596,1190,1190
2589265509983531627,3645692567939266464,1347,1347
2589265509983531627,6405593197437662758,1007,1007
2695305337569098618,2707166451744194534,1426,1426
2695305337569098618,4462447588911890185,1622,1622
2695305337569098618,4775248038139805003,2394,2394
2695305337569098618,5074974895441262076,2361,2361
2695305337569098618,7341486337184709423,6550,6550
2695305337569098618,7484248958687458596,5019,5019
2768059539183056150,4775248038139805003,2050,2050
2811838510934669772,3645692567939266464,2522,2522
2811838510934669772,7484248958687458596,1995,1995
3039183585666478258,3645692567939266464,1035,1035
3645692567939266464,4462447588911890185,1406,1406
3645692567939266464,4775248038139805003,1988,1988
3645692567939266464,8584721346566371541,1804,1804
4462447588911890185,7341486337184709423,1371,1371
7341486337184709423,7484248958687458596,6878,6878
7341486337184709423,8584721346566371541,1663,1663
